@id|@type|@lat|@lon|name|operator|opening_hours|description|capacity|capacity:persons|fee|access|seasonal|ele|start_date|source|website|phone|email|addr:housenumber|addr:street|addr:place|addr:city|addr:postcode|amenity|shelter_type|tourism|building|building:material|material|building:levels|drinking_water|fireplace|stove|heating|bunks|mattress|bed|toilet|shower|indoor_seating|covered|reservation|image|wikidata|wikipedia,,,,
389785669|node|47.1157371|13.3519046|Albert-Biwak|OeAV Sektion Edelweiß|||6|||||2428|1986||https://www.alpenverein.at/albertbiwak/||||||||shelter|basic_hut||||||||||||||||||||,,,,
389785832|node|47.0788996|14.0389825|Esebeckhütte|OeAv Sektion Murau||||||||1747|||||||||||||wilderness_hut||||||||||||||||||Q114787022|de:Esebeckhütte,,,,
389785938|node|46.9618170|12.7465170|Gösnitzkopf-Biwak|Sektion Lienz||||||||2800|||||||||||shelter|basic_hut|||||||||||||||||||Q1560009|de:Gößnitzkopf-Biwak,,,,
389785953|node|47.1299178|12.5154350|Grünseehütte|OeAV Sektion Matrei in Osttirol||||||private||2235|||||||||||||wilderness_hut|||||||||||||||||||,,,,
389786026|node|46.9479184|13.0252988|Holler-Stöckl|Alpenverein Klagenfurt||||||||1765|||https://www.alpenverein.at/hollerstoeckl/||||||||||wilderness_hut|||||||||||||||||||,,,,
389786149|node|46.9443777|13.3395109|Mooshütte|Sektion Spittal an der Drau||||||||2320|||||||||||||wilderness_hut|||||||||||||||||||,,,,
389786152|node|46.6641794|12.6795003|Mitterkar-Biwak|OeAV Austria||||||||1973|||||||||||shelter|basic_hut|||||||||||||||||||Q1403243|de:Mitterkar-Biwak,,,,
389786229|node|47.0808205|12.9206746|Otto-Umlauft-Biwak|Alpenverein Klagenfurt||||||||2987|||||||||||shelter|basic_hut|||||||||||||||||||Q2038018|,,,,
389786238|node|47.5565921|13.2900701|Rossberghütte|Sektion Salzburg||||||||1000|||||||||||||wilderness_hut|||||||||||||||||||,,,,
389786305|node|46.6831338|13.1254538|Reisskofel-Biwak|OeAV Sektion Obergailtal-Lesachtal||||||||1799|||||||||||shelter|basic_hut|||||||||||||||||||Q101790508|de:Reißkofel-Biwak,,,,
393767001|node|47.0826485|12.6943164|Glocknerbiwak|OeAV Sektion Villach||||||||3205|||||||||||shelter|basic_hut|||||||||||||||||||Q64876100|,,,,
395214448|node|47.3901416|11.5034174|Lalidererspitzen-Biwak|OeAV Sektion Innsbruck|||6|||||2495|||||||||||shelter|basic_hut|||||||||||||||||||Q101301078|de:Lalidererspitzen-Biwak,,,,
461700121|node|47.2913525|9.7488822|Frödischbödenhütte|||||||||1123|||||||||||shelter|basic_hut|wilderness_hut|||||||||||||||||||,,,,
502238283|node|47.0533074|11.3260714|||||||||||||||||||||shelter|basic_hut||||||||||||||||||||,,,,
"511114906|node|47.1700742|10.8270335|Forchheimer Biwakschachtel|""Deutscher Alpenverein, Sektion Forchheim""||||||||||GPS|||||||||shelter|basic_hut||||||||||||||||||||",,,,
"517874760|node|47.1671900|10.4474738|Roland-Ritter-Biwak|""Deutscher Alpenverein, Sektion Augsburg""||||||||2614||geoimage.at|https://www.br.de/berge/dossiers/biwakschachteln-in-den-alpen-das-roland-ritter-biwak-lechtaler-alpen-102.html||||||||shelter|basic_hut|||||||||||||||||||Q23893771|de:Augsburger Biwak",,,,
526023632|node|47.4086970|11.3840005|Breitgriesskarscharten-Biwak||||3|||||2388|||||||||||shelter|basic_hut||||||||||||||||||||,,,,
527223045|node|47.4196278|11.2935071|Sulzli-Unterstand|||||||||2220|||||||||||shelter|basic_hut||||||||||||||||||||,,,,
701639897|node|47.3448757|10.1530608|||||||||||||||||||||||wilderness_hut|||||||||||||||||||,,,,
747134371|node|47.6053881|15.8573829|Alpkogelhütte|ÖTK||||||permit||1314|||https://www.oetk-neunkirchen.at/reservierung2/||||||||||wilderness_hut|||||||||||||||||||,,,,
751834167|node|47.3295650|10.1521298|Zafernahütte|Universität Münster (DE)||||||private|||||http://www.zaferna.de||||||||||wilderness_hut|||||||||||||||||||,,,,
813721042|node|46.6809565|13.3288538|Jadersdorfer Ochsenalm||||||||||||||||||||||wilderness_hut|||||||||||||||||||,,,,
885604105|node|47.3533408|10.4106435|Kanzberghütte|||||||||1820|1987||||||||||||wilderness_hut|||||no|yes||yes||yes|||no||||||,,,,
902505469|node|47.2815594|15.6502553|Zetzschachtel||||||||||||||||||||shelter|basic_hut||||||||||||||||||||,,,,
995837959|node|47.4793934|10.7959260|Hölltalhütte|||||||||1460|||||||||||||wilderness_hut|||||||||||||||||||,,,,
"1339870465|node|47.3243814|11.4105611|Unterstand Melzerknappen|||""Steinboden, Sitzgelegenheiten, nicht geeignet zur Übernachtung / Zustieg versicherter Klettersteig (T4)""|||||||||||||||||shelter|basic_hut||||||||||||||||||||",,,,
1396118507|node|47.3464526|10.7913422|Loreahütte|DAV Sektion Isartal||||||||2022|||||||||||||wilderness_hut||||||||||||||||||Q1755491|de:Loreahütte,,,,
1396763486|node|47.3610309|10.9811803|Breitenkopfhütte|DAV Sektion Coburg||||||||2017|||||||||||||wilderness_hut||||||||||||||||||Q17412560|de:Breitenkopfhütte,,,,
1404540571|node|47.0067611|13.0701933|Dr.-Rudolf-Weißgerber-Biwak|DAV Sektion Duisburg||||||||2712|||https://www.alpenverein.at/huetten/?huette_nr=0673||||||||shelter|basic_hut||||||||||||||||||||,,,,
1767933647|node|47.4974715|14.3529470|||||2|||||1876|||||||||||shelter|basic_hut||||||||||||||||||||,,,,
"1800994818|node|47.3179094|11.4060297||||""Alpine Notfallhütte; klein, liegend: 2 Personen; sitzend 6 Personen; sehr verwahrlost""||||||2290|||||||||||shelter|basic_hut||||||||||||||||||||",,,,
2181388142|node|48.5340701|13.4527729|Schärdinger Hütte|Naturfreunde Österreich TVN|Apr - Oct||6|||yes||400||survey|||||||||||wilderness_hut|||||||||||||yes|||required|||,,,,
2190963479|node|47.7883156|14.2239565|||||||||||||||||||||shelter|basic_hut||||||||||||||||||||,,,,
"2367743137|node|46.9185548|13.9496436|Schutzhütte Lattersteighöhe|||""Basic shelter, as of 2021 due to its condition not fully weatherproof.""|||||||||||||||||shelter|basic_hut||||||||||||||||||||",,,,
2685204580|node|47.9822595|13.4401290|Pilgerrast||||||||||||||||||||shelter|basic_hut||||||||||||||||||||,,,,
2878598920|node|46.9112994|14.0041038|Jurihütte|||||||private|||||||||||||||wilderness_hut|||||||||||||||||||,,,,
2893026131|node|46.9860489|13.1096511|Böseckhütte|||||||||2594|||||||||||||wilderness_hut|||||||||||||||||||,,,,
2939278322|node|46.4918089|14.5087552|Obiralm|||||||||1272|||||||||||||wilderness_hut|||||||||||||||||||,,,,
